"Info","Info","Info","Objective","Objective","Extra Output","Extra Output","Variable","Variable",
"Iteration","Generation","Category","Cooling (Electric) (kWh)","Heating (Gas) (kWh)","Discomfort (All Clothing) (hr)","Lighting Energy (kWh)","Local shading type","Window Size","","","","","","","","",
"0","0","Pareto","12569.4795","8017.17345","257.5000","2840.91","1.5m Overhang","Height: 3.6m, Width: 2.5m",
"1","0","Pareto","14094.6191","7344.54681","366.5000","2854.56","1.0m Overhang","Height: 3.6m, Width: 1m",
"2","0"," ","7532.688193","13198.21897","269.5000","3463.10","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 10m",
"3","0","Pareto","21753.7541","5653.202206","997.0000","2624.43","No shading","Height: 3.6m, Width: 10m",
"4","0","Pareto","6776.247749","14075.61868","329.0000","5186.35","1.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"5","0"," ","18725.2474","6455.57404","746.0000","2650.20","0.5m Sidefin","Height: 3.6m, Width: 2.5m",
"6","0"," ","7698.725247","12904.13869","258.5000","3438.07","0.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 10m",
"7","0"," ","20303.7683","6107.625097","892.5000","2637.93","2m Sidefin","Height: 3.6m, Width: 10m",
"8","0","Pareto","7245.93243","12787.65233","242.5000","2823.36","0.5m Sidefin + 0.5m Louvre","Height: 3.6m, Width: 1m",
"9","0","Pareto","8697.1367","10779.62601","168.5000","2998.32","2m Sidefin + 2.5m Overhang","Height: 3.6m, Width: 5m",
"10","0","Pareto","18182.5841","6337.12344","665.0000","2625.32","0.5m Overhang","Height: 3.6m, Width: 10m",
"11","0","Pareto","20181.0527","5928.915262","876.5000","2654.36","No shading","Height: 3.6m, Width: 1m",
"12","0"," ","7525.54038","12870.7489","248.5000","3484.96","5m Overhang","Height: 3.6m, Width: 1m",
"13","0"," ","7488.932125","13319.57161","317.5000","8576.03","2.5m Sidefin + 5m Overhang","Height: 3.6m, Width: 1m",
"14","0","Pareto","10498.5393","9005.33025","147.0000","2899.83","2.0m Overhang","Height: 3.6m, Width: 1m",
"15","0"," ","7446.85603","12706.19494","245.0000","3061.40","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 2.5m",
"16","0"," ","17959.124","6972.01044","727.0000","2687.29","2.5m Sidefin","Height: 3.6m, Width: 5m",
"17","0"," ","7948.61085","11997.48465","212.5000","2946.78","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 10m",
"18","0"," ","7257.643341","13913.40243","308.0000","3847.70","1.5m Sidefin + 1.5m Louvre","Height: 3.6m, Width: 5m",
"19","0"," ","7779.04757","12205.30663","222.5000","3050.38","1m Sidefin + 1m Louvre","Height: 3.6m, Width: 5m",
"20","1"," ","12569.4795","8017.17345","257.5000","2840.91","1.5m Overhang","Height: 3.6m, Width: 2.5m",
"21","1"," ","14094.6191","7344.54681","366.5000","2854.56","1.0m Overhang","Height: 3.6m, Width: 1m",
