Info,Info,Info,Objective,Objective,Extra Output,Variable,Variable,Variable
Iteration,Generation,Category,Cooling (Electric) (kWh),Heating (Gas) (kWh),Discomfort (All Clothing) (hr),Local shading type,Window Size,Site orientation (°)
0,0, ,1.103.829.406,645.022.057,1.350.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",135
1,0, ,1.070.181.246,6.464.821.834,1.340.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 1m",135
2,0,Pareto,30.071.439,9.297.241,12.905.000,No shading,"Height: 3.6m, Width: 2.5m",0
3,0, ,238.291.189,3.355.620.762,10.310.000,1.0m Overhang,"Height: 3.6m, Width: 2.5m",90
4,0, ,1.327.064.763,545.286.112,1.060.000,2.0m Overhang,"Height: 3.6m, Width: 10m",180
5,0, ,2.045.787.439,4.488.353.705,8.760.000,No shading,"Height: 3.6m, Width: 10m",135
6,0, ,172.132.536,3.522.686.493,3.255.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",315
7,0, ,1.267.527.735,600.844.879,1.295.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",225
8,0, ,1.341.909.689,520.038.857,1.005.000,2.5m Sidefin,"Height: 3.6m, Width: 5m",180
9,0, ,1.289.428.317,575.018.922,1.335.000,1m Sidefin,"Height: 3.6m, Width: 1m",225
10,0, ,1.202.180.073,540.556.999,925.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 5m",0
11,0, ,1.260.676.074,497.823.153,860.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",315
12,0, ,237.399.274,2.493.692.719,9.595.000,2.5m Sidefin,"Height: 3.6m, Width: 2.5m",45
13,0, ,252.114.361,197.815.015,9.630.000,1.5m Sidefin,"Height: 3.6m, Width: 2.5m",315
14,0, ,151.786.556,511.203.821,2.745.000,2.0m Overhang,"Height: 3.6m, Width: 1m",225
15,0, ,1.831.983.069,4.201.806.745,5.375.000,2.5m Overhang,"Height: 3.6m, Width: 10m",90
16,0, ,1.243.990.912,610.088.942,1.305.000,2m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",225
17,0, ,1.298.947.163,489.803.062,840.000,0.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 2.5m",315
18,0, ,1.311.496.092,553.374.807,1.080.000,2.5m Overhang,"Height: 3.6m, Width: 5m",180
19,0, ,28.393.497,3.054.005.979,12.700.000,1m Sidefin,"Height: 3.6m, Width: 10m",90
20,1, ,1.103.829.406,645.022.057,1.350.000,1m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",135
21,1, ,1.175.357.091,612.328.447,1.250.000,2.5m Sidefin,"Height: 3.6m, Width: 1m",135
22,1, ,223.833.482,3.350.732.885,9.435.000,1.5m Overhang,"Height: 3.6m, Width: 1m",90
23,1, ,1.260.676.074,497.823.153,860.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 10m",315
24,1, ,29.052.664,998.629.251,11.970.000,0.5m Sidefin,"Height: 3.6m, Width: 5m",0
25,1, ,1.766.010.846,4.147.146.335,4.215.000,2.5m Overhang,"Height: 3.6m, Width: 1m",270
26,1, ,1.070.181.246,6.464.821.834,1.340.000,2m Sidefin + 2m Overhang,"Height: 3.6m, Width: 1m",135
27,1, ,1.345.194.394,572.464.004,1.140.000,5m Overhang,"Height: 3.6m, Width: 2.5m",135
28,1,Pareto,1.041.945.468,6.597.356.278,1.425.000,2.5m Sidefin + 5m Overhang,"Height: 3.6m, Width: 1m",0
